Project_ID,Project_Name,Region,Province,Month,Budget,Actual_Spend,KPI_Target,KPI_Actual,Participants,Satisfaction
P00186,NCD Prevention,North,Chiang Rai,Jul,1369867,1164979,100,82,2882,4.16
P00187,Health Data,North,Chiang Rai,Jul,1233075,917291,100,93,1542,4.53
P00188,Health Promotion,North,Chiang Rai,Jul,1594494,1141025,100,93,2346,4.21
P00189,Policy Development,North,Chiang Rai,Jul,1470962,1149669,100,71,325,4.66
P00190,Network Strengthening,North,Chiang Rai,Jul,1061406,1051120,100,95,1544,3.81
P00191,Community Health,North,Chiang Rai,Aug,604102,571749,100,95,1451,4.69
P00192,Elderly Care,North,Chiang Rai,Aug,1714932,1245687,100,66,2906,4.5
P00193,Mental Health,North,Chiang Rai,Aug,1506850,1091113,100,67,2879,4.33
P00194,Healthy School,North,Chiang Rai,Aug,1598294,1234206,100,82,2415,3.67
P00195,Food Safety,North,Chiang Rai,Aug,1204331,1145917,100,62,1565,3.75
P00196,NCD Prevention,North,Chiang Rai,Aug,1731942,1393028,100,91,729,4.11
P00197,Health Data,North,Chiang Rai,Aug,1258198,966468,100,100,2775,4.53
P00198,Health Promotion,North,Chiang Rai,Aug,1481930,1226423,100,61,2835,4.66
P00199,Policy Development,North,Chiang Rai,Aug,1065458,988584,100,93,2017,4.28
P00200,Network Strengthening,North,Chiang Rai,Aug,1174253,837239,100,63,2076,4.77
P00201,Community Health,North,Chiang Rai,Sep,584419,504926,100,81,366,4.62
P00202,Elderly Care,North,Chiang Rai,Sep,1977516,1928413,100,86,851,4.63
P00203,Mental Health,North,Chiang Rai,Sep,596799,525840,100,75,2459,3.51
P00204,Healthy School,North,Chiang Rai,Sep,1858275,1778280,100,66,1918,4.51
P00205,Food Safety,North,Chiang Rai,Sep,1366899,1116292,100,68,385,4.19
P00206,NCD Prevention,North,Chiang Rai,Sep,531366,389846,100,93,2081,3.93
P00207,Health Data,North,Chiang Rai,Sep,649173,510911,100,88,1218,3.77
P00208,Health Promotion,North,Chiang Rai,Sep,1545455,1122865,100,66,1389,4.45
P00209,Policy Development,North,Chiang Rai,Sep,1282872,1131466,100,64,1817,4.79
P00210,Network Strengthening,North,Chiang Rai,Sep,1516674,1419787,100,96,1740,3.82
P00211,Community Health,North,Chiang Rai,Oct,1393862,1052053,100,84,836,4.96
P00212,Elderly Care,North,Chiang Rai,Oct,848343,670043,100,72,280,3.61
P00213,Mental Health,North,Chiang Rai,Oct,1244759,1030320,100,81,2412,4.06
P00214,Healthy School,North,Chiang Rai,Oct,1481427,1143589,100,84,2426,4.32
P00215,Food Safety,North,Chiang Rai,Oct,1027040,790311,100,82,2473,4.53
P00216,NCD Prevention,North,Chiang Rai,Oct,510383,429238,100,91,2304,4.28
P00217,Health Data,North,Chiang Rai,Oct,820921,691869,100,92,153,4.6
P00218,Health Promotion,North,Chiang Rai,Oct,550581,428859,100,92,410,3.9
P00219,Policy Development,North,Chiang Rai,Oct,1017902,788918,100,89,2064,3.99
P00220,Network Strengthening,North,Chiang Rai,Oct,1570995,1338956,100,66,161,3.59
P00221,Community Health,North,Chiang Rai,Nov,1813958,1405000,100,71,531,4.84
P00222,Elderly Care,North,Chiang Rai,Nov,1365986,1184258,100,99,1656,4.26
P00223,Mental Health,North,Chiang Rai,Nov,760182,615340,100,82,751,4.02
P00224,Healthy School,North,Chiang Rai,Nov,678265,487182,100,87,1292,4.08
P00225,Food Safety,North,Chiang Rai,Nov,893431,650932,100,66,1613,4.2
P00226,NCD Prevention,North,Chiang Rai,Nov,1756240,1366823,100,76,858,4.92
P00227,Health Data,North,Chiang Rai,Nov,597827,539571,100,79,2018,3.97
P00228,Health Promotion,North,Chiang Rai,Nov,1536524,1359630,100,77,1352,4.85
P00229,Policy Development,North,Chiang Rai,Nov,904244,755482,100,66,2576,3.8
P00230,Network Strengthening,North,Chiang Rai,Nov,1980782,1626198,100,77,2807,4.72
P00231,Community Health,North,Chiang Rai,Dec,1228074,943180,100,86,2686,3.77
P00232,Elderly Care,North,Chiang Rai,Dec,931057,770619,100,88,1726,4.61
P00233,Mental Health,North,Chiang Rai,Dec,519363,493739,100,95,1301,4.89
P00234,Healthy School,North,Chiang Rai,Dec,1857155,1561865,100,98,2608,4.35
P00235,Food Safety,North,Chiang Rai,Dec,1062785,891305,100,88,2698,4.64
P00236,NCD Prevention,North,Chiang Rai,Dec,1888487,1660663,100,76,2354,4.62
P00237,Health Data,North,Chiang Rai,Dec,1298018,974053,100,60,411,4.74
P00238,Health Promotion,North,Chiang Rai,Dec,1107420,948293,100,67,1774,4.38
P00239,Policy Development,North,Chiang Rai,Dec,1256165,1085897,100,60,2174,3.58
P00240,Network Strengthening,North,Chiang Rai,Dec,1407144,1287697,100,82,2539,3.91
P00241,Community Health,North,Lampang,Jan,996283,969478,100,64,1871,4.72
P00242,Elderly Care,North,Lampang,Jan,830316,659777,100,85,225,3.52
P00243,Mental Health,North,Lampang,Jan,922532,729586,100,78,2403,4.19
P00244,Healthy School,North,Lampang,Jan,686488,563942,100,71,2704,4.12
P00245,Food Safety,North,Lampang,Jan,1448133,1225000,100,88,718,3.93
P00246,NCD Prevention,North,Lampang,Jan,1866316,1319810,100,65,2219,3.69
P00247,Health Data,North,Lampang,Jan,867777,813620,100,72,2991,4.91
P00248,Health Promotion,North,Lampang,Jan,525767,373071,100,77,2155,3.97
P00249,Policy Development,North,Lampang,Jan,1029061,726939,100,100,1269,4.0
P00250,Network Strengthening,North,Lampang,Jan,1791271,1742233,100,86,2191,3.94
P00251,Community Health,North,Lampang,Feb,1903048,1539794,100,80,368,4.95
P00252,Elderly Care,North,Lampang,Feb,676218,589732,100,77,2451,3.6
P00253,Mental Health,North,Lampang,Feb,1605374,1272691,100,60,2429,4.99
P00254,Healthy School,North,Lampang,Feb,1880318,1812247,100,100,2350,3.97
P00255,Food Safety,North,Lampang,Feb,512367,509633,100,80,1825,4.08
P00256,NCD Prevention,North,Lampang,Feb,1414338,1171747,100,88,1198,4.98
P00257,Health Data,North,Lampang,Feb,742650,707319,100,61,2889,3.54
P00258,Health Promotion,North,Lampang,Feb,1382059,1006809,100,69,253,4.66
P00259,Policy Development,North,Lampang,Feb,632116,502880,100,100,1340,3.97
P00260,Network Strengthening,North,Lampang,Feb,1204222,1083900,100,63,2172,4.56
P00261,Community Health,North,Lampang,Mar,653165,617118,100,63,287,4.12
P00262,Elderly Care,North,Lampang,Mar,1040672,832059,100,78,1855,4.43
P00263,Mental Health,North,Lampang,Mar,1451704,1251818,100,79,1830,4.81
P00264,Healthy School,North,Lampang,Mar,1164595,834869,100,64,1780,3.55
P00265,Food Safety,North,Lampang,Mar,1733043,1657667,100,83,2460,4.39
P00266,NCD Prevention,North,Lampang,Mar,622663,569940,100,86,2725,4.85
P00267,Health Data,North,Lampang,Mar,1473778,1410343,100,99,2037,4.61
P00268,Health Promotion,North,Lampang,Mar,1149012,928790,100,78,1496,4.16
P00269,Policy Development,North,Lampang,Mar,1525580,1485810,100,60,1766,4.32
P00270,Network Strengthening,North,Lampang,Mar,677931,621789,100,92,2778,4.56
P00271,Community Health,North,Lampang,Apr,1174266,987051,100,73,748,4.12
P00272,Elderly Care,North,Lampang,Apr,1372033,1162038,100,91,2310,4.79
P00273,Mental Health,North,Lampang,Apr,1504555,1337818,100,75,604,4.8
P00274,Healthy School,North,Lampang,Apr,1852786,1752558,100,99,1775,4.85
P00275,Food Safety,North,Lampang,Apr,1655986,1513114,100,78,791,4.22
P00276,NCD Prevention,North,Lampang,Apr,860448,646565,100,100,2027,3.6
P00277,Health Data,North,Lampang,Apr,1959312,1953301,100,85,1655,4.99
P00278,Health Promotion,North,Lampang,Apr,1861618,1470637,100,72,961,4.2
P00279,Policy Development,North,Lampang,Apr,1641712,1251016,100,94,2885,3.5
P00280,Network Strengthening,North,Lampang,Apr,1154671,896131,100,98,313,4.61
P00281,Community Health,North,Lampang,May,1669334,1326219,100,87,2630,4.54
P00282,Elderly Care,North,Lampang,May,1620559,1343001,100,60,805,4.57
P00283,Mental Health,North,Lampang,May,1562800,1128156,100,91,2533,4.39
P00284,Healthy School,North,Lampang,May,1831966,1712431,100,71,1376,4.45
P00285,Food Safety,North,Lampang,May,1166475,1063968,100,70,719,3.72
P00286,NCD Prevention,North,Lampang,May,1811635,1656230,100,74,2605,4.12
P00287,Health Data,North,Lampang,May,1067448,883173,100,63,2284,4.37
P00288,Health Promotion,North,Lampang,May,1886039,1884459,100,85,2764,4.57
P00289,Policy Development,North,Lampang,May,1449120,1231324,100,81,2340,4.16
P00290,Network Strengthening,North,Lampang,May,773056,568575,100,100,481,4.21
P00291,Community Health,North,Lampang,Jun,997895,989798,100,93,1637,4.3
P00292,Elderly Care,North,Lampang,Jun,765885,611421,100,95,337,4.99
P00293,Mental Health,North,Lampang,Jun,1761645,1272259,100,63,1510,4.57
P00294,Healthy School,North,Lampang,Jun,1695695,1555834,100,88,910,4.62
P00295,Food Safety,North,Lampang,Jun,995315,708257,100,71,2211,4.06
P00296,NCD Prevention,North,Lampang,Jun,529797,506751,100,71,1099,3.53
P00297,Health Data,North,Lampang,Jun,1038225,815716,100,63,2089,4.65
P00298,Health Promotion,North,Lampang,Jun,1868529,1609627,100,88,2078,4.63
P00299,Policy Development,North,Lampang,Jun,1132301,944504,100,98,1469,4.5
P00300,Network Strengthening,North,Lampang,Jun,1107146,935757,100,71,2361,3.86
P00301,Community Health,North,Lampang,Jul,602531,537080,100,86,2061,3.86
P00302,Elderly Care,North,Lampang,Jul,1524211,1286201,100,68,231,4.23
P00303,Mental Health,North,Lampang,Jul,1243949,1091354,100,72,242,4.15
P00304,Healthy School,North,Lampang,Jul,1370867,1041378,100,95,287,3.81
P00305,Food Safety,North,Lampang,Jul,1956440,1794922,100,94,2712,3.67
P00306,NCD Prevention,North,Lampang,Jul,1064099,826415,100,87,2088,4.9
P00307,Health Data,North,Lampang,Jul,1689965,1186667,100,91,1309,4.66
P00308,Health Promotion,North,Lampang,Jul,526532,479304,100,71,207,4.84
P00309,Policy Development,North,Lampang,Jul,833940,620656,100,81,1003,4.17
P00310,Network Strengthening,North,Lampang,Jul,759900,618443,100,86,1639,4.0
P00311,Community Health,North,Lampang,Aug,1130918,1013024,100,83,2161,4.88
P00312,Elderly Care,North,Lampang,Aug,1447871,1036960,100,90,490,4.48
P00313,Mental Health,North,Lampang,Aug,1754491,1291641,100,98,1753,3.7
P00314,Healthy School,North,Lampang,Aug,1396587,1189665,100,66,395,3.67
P00315,Food Safety,North,Lampang,Aug,1567758,1514866,100,81,1670,3.74
P00316,NCD Prevention,North,Lampang,Aug,1078234,915477,100,75,2846,4.09
P00317,Health Data,North,Lampang,Aug,1869301,1391794,100,79,1856,3.59
P00318,Health Promotion,North,Lampang,Aug,1403411,1205503,100,76,1340,4.12
P00319,Policy Development,North,Lampang,Aug,1353837,1052994,100,97,1519,4.4
P00320,Network Strengthening,North,Lampang,Aug,1654350,1563686,100,85,1251,4.99
P00321,Community Health,North,Lampang,Sep,1418500,1320386,100,61,1788,4.74
P00322,Elderly Care,North,Lampang,Sep,1957314,1833654,100,62,443,4.25
P00323,Mental Health,North,Lampang,Sep,1327478,1169660,100,80,1738,4.85
P00324,Healthy School,North,Lampang,Sep,1821898,1637939,100,89,1595,3.97
P00325,Food Safety,North,Lampang,Sep,1317767,1311250,100,80,2665,4.46
P00326,NCD Prevention,North,Lampang,Sep,1682254,1434131,100,83,2076,4.48
P00327,Health Data,North,Lampang,Sep,1890773,1675946,100,66,1032,3.69
P00328,Health Promotion,North,Lampang,Sep,710686,500784,100,90,684,3.95
P00329,Policy Development,North,Lampang,Sep,1657214,1628870,100,99,1107,4.14
P00330,Network Strengthening,North,Lampang,Sep,1521954,1176955,100,72,2158,4.91
P00331,Community Health,North,Lampang,Oct,1263359,989096,100,74,2964,4.99
P00332,Elderly Care,North,Lampang,Oct,936879,662748,100,66,2952,4.53
P00333,Mental Health,North,Lampang,Oct,1106385,1095731,100,82,950,3.66
P00334,Healthy School,North,Lampang,Oct,1818861,1380545,100,69,2462,4.33
P00335,Food Safety,North,Lampang,Oct,519483,470808,100,67,1945,4.05
P00336,NCD Prevention,North,Lampang,Oct,1133232,855624,100,68,235,4.22
